entity,source_id,statement,line_item_original,line_item_standard,line_item_id,period_end,period_label,period_type,currency,units,source_value,normalized_value,normalization_method,source_location,evidence_label,confidence,normalization_note
腾讯控股,SRC-TC-FY2025,income_statement,Revenues,营业收入,revenue,2025-12-31,FY2025,annual,CNY,CNY million,751766,751766,as_reported,PDF p.4 Financial Summary,fact_source_reported,high,报告单位为人民币百万元
腾讯控股,SRC-TC-FY2025,income_statement,Operating profit,经营利润,operating_profit,2025-12-31,FY2025,annual,CNY,CNY million,241562,241562,as_reported,PDF p.4 Financial Summary,fact_source_reported,high,IFRS口径
腾讯控股,SRC-TC-FY2025,income_statement,Profit attributable to equity holders of the Company,归母净利润,net_income_attributable,2025-12-31,FY2025,annual,CNY,CNY million,224842,224842,as_reported,PDF p.4 Financial Summary,fact_source_reported,high,IFRS口径
腾讯控股,SRC-TC-FY2025,cash_flow,Net cash flows generated from operating activities,经营活动现金流净额,operating_cash_flow,2025-12-31,FY2025,annual,CNY,CNY million,303052,303052,as_reported,PDF p.139 Consolidated Statement of Cash Flows,fact_source_reported,high,
腾讯控股,SRC-TC-FY2025,income_statement,Basic EPS,基本每股收益,basic_eps,2025-12-31,FY2025,annual,CNY,CNY per share,24.749,24.749,as_reported,PDF p.5 Chairman's Statement,fact_source_reported,high,IFRS口径
腾讯控股,SRC-TC-FY2025,balance_sheet,Total assets,总资产,total_assets,2025-12-31,FY2025,annual,CNY,CNY million,2038986,2038986,as_reported,PDF p.4 Financial Summary,fact_source_reported,high,
腾讯控股,SRC-TC-FY2025,balance_sheet,Equity attributable to equity holders of the Company,归母权益,equity_attributable,2025-12-31,FY2025,annual,CNY,CNY million,1154152,1154152,as_reported,PDF p.4 Financial Summary,fact_source_reported,high,
腾讯控股,SRC-TC-FY2025,adjustment,Non-IFRS profit attributable to equity holders of the Company,非国际财务报告准则归母净利润,non_ifrs_net_income_attributable,2025-12-31,FY2025,annual,CNY,CNY million,259626,259626,as_reported,PDF p.4 Financial Summary,management_adjusted,high,公司定义的非IFRS指标不能替代IFRS净利润
腾讯控股,SRC-TC-H1-2026,income_statement,Revenues,营业收入,revenue,2026-06-30,H1 2026,ytd,CNY,CNY million,401243,401243,as_reported,PDF p.5 Financial Performance Highlights,fact_source_reported,high,未经审计半年度累计值
腾讯控股,SRC-TC-H1-2026,income_statement,Operating profit,经营利润,operating_profit,2026-06-30,H1 2026,ytd,CNY,CNY million,134651,134651,as_reported,PDF p.5 Financial Performance Highlights,fact_source_reported,high,IFRS口径且未经审计
腾讯控股,SRC-TC-H1-2026,income_statement,Profit attributable to equity holders of the Company,归母净利润,net_income_attributable,2026-06-30,H1 2026,ytd,CNY,CNY million,114115,114115,as_reported,PDF p.5 Financial Performance Highlights,fact_source_reported,high,IFRS口径且未经审计
腾讯控股,SRC-TC-H1-2026,cash_flow,Net cash flows generated from operating activities,经营活动现金流净额,operating_cash_flow,2026-06-30,H1 2026,ytd,CNY,CNY million,154061,154061,as_reported,PDF p.34 Condensed Consolidated Statement of Cash Flows,fact_source_reported,high,未经审计半年度累计值
腾讯控股,SRC-TC-H1-2026,income_statement,Basic EPS,基本每股收益,basic_eps,2026-06-30,H1 2026,ytd,CNY,CNY per share,12.639,12.639,as_reported,PDF p.5 Financial Performance Highlights,fact_source_reported,high,IFRS口径且未经审计
腾讯控股,SRC-TC-H1-2026,adjustment,Non-IFRS profit attributable to equity holders of the Company,非国际财务报告准则归母净利润,non_ifrs_net_income_attributable,2026-06-30,H1 2026,ytd,CNY,CNY million,136320,136320,as_reported,PDF p.5 Financial Performance Highlights,management_adjusted,high,公司定义的非IFRS指标不能替代IFRS净利润
腾讯控股,SRC-TC-H1-2026,capital_allocation,Purchase of/prepayments for property plant and equipment construction in progress and investment properties,资本开支相关现金支出,capital_expenditure_cash_outflow,2026-06-30,H1 2026,ytd,CNY,CNY million,-95615,-95615,as_reported,PDF p.34 Condensed Consolidated Statement of Cash Flows,fact_source_reported,high,现金流出以负数表示
